French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
mois,month
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
devrait,should
bébé,baby
longtemps,long time
heures,hours
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
pourrais,could
affaire,case
leurs,their
donné,given
train,train
corps,body
endroit,place
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
cause,cause
espère,hope
eau,water
boulot,job
compte,account
donne,given
loin,far
plutôt,rather
filles,girls
jouer,to play
bureau,office
